wind,solar,hydro,other_renewables_including_bioenergy,year,region
7.361999941756949,0.05699999909847975,512.9169961865991,31.60800014063716,1997,Europe
11.283000092487782,0.08799999859184027,536.3029959294945,35.53900040499866,1998,Europe
14.223000211175531,0.09999999776482582,547.5070013739169,37.67899996228516,1999,Europe
22.26000013574958,0.11999999731779099,574.1000113412738,41.09000034816563,2000,Europe
26.76000014692545,0.19999999552965164,578.9999931398779,43.39000082015991,2001,Europe
36.419999873265624,0.27999999560415745,519.8799970690161,48.98999935016036,2002,Europe
44.83999981172383,0.4199999999254942,485.90000093728304,57.100000174716115,2003,Europe
59.76000024192035,0.6999999992549419,514.8699951693416,68.13999960944057,2004,Europe
71.55000084079802,1.4799999687820673,526.1500003114343,78.1700005158782,2005,Europe
83.6399993095547,2.500000022351742,511.9800054188818,88.47000069729984,2006,Europe
106.1699984446168,3.8099998999387026,520.7800063882023,98.48000008426607,2007,Europe
121.33000223711133,7.4699999913573265,552.2299992106855,108.82000007107854,2008,Europe
134.93999639712274,14.14999987743795,546.719997132197,119.06999972462654,2009,Europe
151.17999944090843,23.35999957099557,588.659998094663,135.0500010754913,2010,Europe
182.74999876879156,47.71000015921891,509.6200023088604,144.10999933630228,2011,Europe
209.21000288240612,72.13000013493001,561.3200010843575,159.76999754086137,2012,Europe
240.4200019389391,87.16000090911984,595.049998909235,169.7200000640005,2013,Europe
257.87999620102346,99.47000098787248,596.0899938661605,179.57999916933477,2014,Europe
307.34000488370657,109.9000000320375,562.5400014910847,190.60999847576022,2015,Europe
307.32999915629625,113.19999887235463,578.2200011350214,194.21999949589372,2016,Europe
366.2700033560395,121.80000047013164,520.2499958258122,198.85000178404152,2017,Europe
383.3600002415478,128.8399986755103,577.7800057642162,204.73999905772507,2018,Europe
441.0700046159327,141.87000167183578,534.1499994620681,211.6200015284121,2019,Europe
486.5500092860311,166.05999946407974,579.8399909939617,216.02000189200044,2020,Europe
470.5200029332191,179.46999876573682,560.6599984560162,219.4900022484362,2021,Europe
2.8199999124044552,0.37199999194126576,612.4450206756592,66.56799970194697,1990,"North America"
2.9839999467367306,0.479999985313043,617.2269897460938,70.3939982894808,1991,"North America"
2.9770000557182357,0.4140000094193965,593.414981842041,75.67600276879966,1992,"North America"
3.0960000137565657,0.48099999432452023,628.1199970245361,78.27000296488404,1993,"North America"
3.5460001127794385,0.5089999742340297,607.4679908752441,78.33900302276015,1994,"North America"
3.2620000997558236,0.5229999986477196,672.878999710083,76.84999943524599,1995,"North America"
3.334999958984554,0.553000008687377,733.4770221710205,78.55699614807963,1996,"North America"
3.395000098273158,0.5459999926388264,731.0149841308594,79.88899981230497,1997,"North America"
3.132999992929399,0.5419999761506915,677.5519847869873,80.76099716871977,1998,"North America"
4.711999993771315,0.538000007160008,694.3180198669434,81.49899660795927,1999,"North America"
6.070000149309635,0.5200000088661909,674.3900114260614,98.57000004313886,2000,"North America"
7.309999771416187,0.5700000207871199,581.1999888923019,88.09000163711607,2001,"North America"
11.070000367239118,0.5800000112503767,643.10998464562,93.17999644391239,2002,"North America"
12.39999956637621,0.5599999707192183,637.6899969410151,93.90000179596245,2003,"North America"
15.450000321492553,0.5999999828636646,640.4299861565232,96.07999853789806,2004,"North America"
19.699999522417784,0.5800000112503767,668.9899968467653,100.18000154197216,2005,"North America"
29.490000192075968,0.5399999897927046,682.4000100810081,98.92000078596175,2006,"North America"
38.060000739991665,0.6500000134110451,651.5800043344498,101.80000016652048,2007,"North America"
59.73000058718026,0.9100000131875277,682.9799869135022,99.82000217214227,2008,"North America"
81.67999929189682,0.999999986961484,681.0599996373057,102.07999920099974,2009,"North America"
105.24000181257725,1.5100000370293856,662.4599928949028,105.58999800123274,2010,"North America"
132.929999852553,2.4700000435113907,743.6899941321462,105.91999789327383,2011,"North America"
157.32000778988004,5.389999931678176,703.9199999533594,107.60000113025308,2012,"North America"
191.9599963221699,10.799999980255961,703.6099994964898,111.72999700158834,2013,"North America"
213.24000443518162,31.469999980181456,693.5999946147203,114.01000348106027,2014,"North America"
230.16000011749566,43.02999865449965,676.5000008791685,112.99000297859311,2015,"North America"
